age,income,credit_sum,loans_count,credit_history,delay_ratio,employment_years,target
47,238630,165309,7,0.444,0.16,19,1
52,194302,272776,6,0.304,0.085,33,1
66,45282,481592,6,0.442,0.0,30,1
40,71574,17319,3,0.606,0.079,15,1
26,66372,110492,2,0.613,0.059,27,1
61,50424,254740,6,0.54,0.207,10,1
50,56201,176313,0,0.582,0.094,36,0
54,89314,315647,0,0.691,0.071,23,0
23,145545,186670,0,0.511,0.059,36,0
34,108518,332766,4,0.705,0.123,10,1
57,113891,62098,0,0.391,0.104,38,0
61,72759,172748,4,0.489,0.045,11,1
40,50493,349477,1,0.428,0.118,27,1
59,249739,240928,7,0.619,0.061,1,1
61,155764,359701,3,0.348,0.0,9,1
38,68968,321792,0,0.452,0.147,21,0
64,205347,170963,5,0.221,0.14,20,1
32,210199,219869,2,0.589,0.114,5,0
30,242193,482699,2,0.687,0.069,0,0
53,52392,481446,5,0.637,0.095,33,1
51,165392,27434,7,0.622,0.157,9,1
25,245357,355666,7,0.626,0.056,30,1
61,204567,250579,3,0.605,0.16,6,1
28,67998,10624,6,0.592,0.0,11,1
59,224862,320716,1,0.602,0.112,0,0
18,114096,21406,6,0.402,0.102,21,1
59,129896,166218,7,0.47,0.17,20,1
58,146262,348247,4,0.511,0.036,23,1
58,196277,408205,4,0.45,0.043,29,1
52,43267,212196,4,0.265,0.002,26,1
42,141724,406292,0,0.315,0.06,8,0
54,206952,421340,6,0.534,0.118,16,1
32,143898,229296,5,0.636,0.0,3,1
58,79551,94777,6,0.501,0.069,26,1
46,28226,333006,0,0.915,0.143,15,0
41,144078,16775,6,0.362,0.093,6,1
44,180287,447676,2,0.567,0.105,35,0
47,144163,200160,6,0.694,0.0,18,1
19,245148,382412,7,0.66,0.093,2,1
25,156620,370671,7,0.598,0.102,3,1
30,134433,241703,7,0.661,0.089,11,1
23,28039,486146,0,0.508,0.111,37,0
40,146270,400193,2,0.749,0.078,3,0
52,54625,442990,2,0.692,0.068,16,1
52,185313,56012,4,0.372,0.027,15,1
42,52880,247196,7,0.548,0.168,24,1
62,228073,476462,5,0.268,0.014,23,1
47,85982,408280,4,0.728,0.111,19,1
22,116986,232513,6,0.534,0.227,32,1
57,49054,44461,1,0.702,0.177,1,1
47,64514,148287,5,0.484,0.136,15,1
51,231651,290413,4,0.222,0.117,2,1
47,81666,324506,1,0.896,0.091,12,0
46,135544,462906,5,0.52,0.037,10,1
22,245628,55503,6,0.35,0.082,35,1
47,161540,204228,6,0.672,0.14,26,1
59,24785,143323,6,0.805,0.127,9,1
33,99009,480449,6,0.47,0.155,25,1
49,105910,91391,3,0.485,0.185,33,1
19,79917,118135,0,0.536,0.089,7,0
36,71677,155931,7,0.333,0.113,22,1
40,133246,61760,3,0.396,0.0,19,1
69,103604,325299,5,0.767,0.258,36,1
29,84165,267133,0,0.48,0.071,14,0
32,112050,283252,7,0.374,0.146,27,1
39,95756,454550,7,0.432,0.071,22,1
69,68753,222222,7,0.661,0.069,12,1
62,121396,162526,1,0.204,0.083,13,1
19,236440,193953,6,0.538,0.013,34,1
30,133847,402078,4,0.869,0.0,35,1
60,155425,268927,1,0.805,0.181,10,0
21,246313,92906,4,0.586,0.138,18,1
62,159198,348004,3,0.697,0.036,5,1
32,67480,375329,5,0.696,0.132,17,1
65,108641,132463,0,0.481,0.158,34,0
33,129674,282943,4,0.639,0.051,28,1
40,126573,286196,5,0.768,0.129,19,1
52,50135,95758,5,0.31,0.17,31,1
24,39871,14470,6,0.586,0.0,22,1
46,97249,361862,5,0.554,0.137,17,1
44,229851,311556,5,0.515,0.126,0,1
58,183568,359740,0,0.502,0.232,4,0
69,212803,194897,6,0.535,0.139,21,1
52,55998,262563,2,0.547,0.071,3,1
39,112354,491016,4,0.668,0.079,0,1
39,151617,120479,4,0.571,0.242,13,1
39,117064,329876,7,0.473,0.075,22,1
60,112924,74824,2,0.374,0.141,29,1
34,99551,42188,3,0.429,0.083,38,1
26,27121,479054,6,0.539,0.176,26,1
35,216447,73612,5,0.394,0.179,39,1
19,234272,331348,2,0.642,0.098,11,0
23,33999,261960,2,0.565,0.072,26,1
22,112196,406528,6,0.672,0.07,0,1
58,136690,277836,6,0.404,0.0,5,1
55,199222,351515,1,0.375,0.107,25,0
54,246885,448125,3,0.67,0.106,12,0
42,112833,416442,6,0.519,0.043,22,1
55,190996,363710,0,0.47,0.0,37,0
26,235279,89620,1,0.605,0.114,30,0
64,210119,93012,1,0.599,0.123,14,0
44,83260,253505,4,0.312,0.128,27,1
66,207110,332839,3,0.708,0.031,36,0
25,111874,336891,2,0.438,0.128,9,1
43,19117,395470,1,0.755,0.087,22,1
54,193333,60661,5,0.3,0.161,29,1
43,211319,94987,6,0.548,0.032,26,1
41,95761,83478,1,0.472,0.181,19,1
26,120969,275115,5,0.204,0.206,17,1
37,100623,320651,6,0.599,0.108,22,1
30,42501,66612,4,0.211,0.128,19,1
33,248783,435665,4,0.456,0.155,14,1
53,20314,158688,1,0.666,0.028,34,1
50,145569,333603,7,0.42,0.066,31,1
49,18508,378296,7,0.364,0.113,25,1
36,177004,27740,5,0.62,0.242,7,1
67,226699,433760,7,0.463,0.016,20,1
22,166213,485512,4,0.439,0.215,8,1
35,157449,479731,5,0.691,0.086,6,1
24,209562,78358,6,0.325,0.098,9,1
35,243945,202402,0,0.431,0.185,6,0
68,217528,123955,1,0.63,0.242,31,0
37,69384,230893,1,0.315,0.13,20,1
65,147365,487733,5,0.766,0.182,29,1
43,207420,383930,1,0.467,0.036,39,0
54,84220,387806,3,0.631,0.063,10,1
41,173671,216746,3,0.631,0.005,7,1
31,20358,468922,5,0.477,0.064,5,1
57,221173,460826,4,0.428,0.14,0,1
68,159384,405243,0,0.494,0.115,1,0
31,189631,409092,5,0.607,0.221,23,1
58,208985,329349,3,0.352,0.244,27,1
31,66412,56714,0,0.32,0.09,11,1
55,120876,149430,5,0.723,0.052,21,1
59,216781,386708,2,0.39,0.181,8,1
41,53705,170171,3,0.553,0.188,28,1
56,208279,94473,7,0.47,0.131,28,1
32,82699,474162,1,0.476,0.149,28,1
22,150244,249288,7,0.715,0.138,20,1
23,134847,431706,3,0.487,0.031,33,1
41,176325,149241,7,0.446,0.015,3,1
64,211620,186150,6,0.46,0.096,16,1
24,97009,178215,6,0.424,0.086,2,1
41,55361,192901,1,0.399,0.119,33,1
54,114364,224417,6,0.425,0.091,2,1
28,158855,155870,2,0.749,0.0,17,0
55,191353,408961,7,0.607,0.0,7,1
33,192041,169803,7,0.448,0.152,28,1
60,94890,226343,4,0.647,0.054,16,1
48,234971,431727,7,0.262,0.084,22,1
46,34544,224205,4,0.706,0.061,38,1
27,42425,15148,0,0.694,0.036,36,0
42,20821,10239,6,0.835,0.034,17,1
62,232702,223665,4,0.652,0.171,14,1
19,57328,327773,0,0.566,0.083,11,0
57,156344,471991,0,0.694,0.144,27,0
43,206043,74094,5,0.406,0.154,39,1
55,195174,275891,7,0.441,0.122,23,1
52,237978,151583,5,0.49,0.156,22,1
40,27637,230718,3,0.705,0.101,39,1
34,110662,226892,2,0.372,0.195,7,1
50,133944,163061,3,0.356,0.158,3,1
25,178594,18932,2,0.535,0.167,3,1
48,161317,46217,2,0.608,0.034,23,0
22,146588,265971,1,0.395,0.118,35,1
51,87105,119998,4,0.601,0.0,9,1
50,40021,170241,1,0.705,0.198,28,1
22,116437,54324,1,0.68,0.056,35,0
57,76019,34311,2,0.553,0.066,36,1
39,145260,72082,6,0.486,0.004,31,1
58,202324,194862,4,0.76,0.097,14,1
20,144848,90123,3,0.502,0.081,26,1
27,152015,123400,4,0.641,0.228,22,1
43,24837,157994,4,0.794,0.16,19,1
27,166492,152747,3,0.625,0.064,28,1
35,118278,15398,6,0.35,0.0,27,1
52,44068,67508,5,0.314,0.0,32,1
25,65247,475570,1,0.455,0.028,22,1
53,198474,337319,6,0.606,0.007,26,1
23,230423,70671,1,0.567,0.124,11,0
27,134314,149015,0,0.831,0.09,18,0
48,244496,197742,3,0.565,0.101,32,1
59,57309,453778,3,0.451,0.034,30,1
26,85417,440968,6,0.33,0.111,20,1
33,233565,387509,5,0.677,0.001,22,1
66,56168,62218,0,0.499,0.094,10,0
69,169954,250344,3,0.274,0.158,15,1
48,66583,246966,6,0.503,0.074,26,1
41,92826,322385,5,0.351,0.131,4,1
36,127271,423943,4,0.436,0.0,0,1
49,99597,167277,4,0.501,0.0,23,1
48,220508,282911,4,0.364,0.123,28,1
33,243605,139266,1,0.427,0.173,39,0
19,132508,113068,4,0.388,0.083,18,1
25,138426,163527,5,0.392,0.25,4,1
67,28017,370399,0,0.349,0.0,25,1
39,70037,224534,5,0.428,0.052,12,1
43,24373,343857,1,0.366,0.11,6,1
42,216312,348664,0,0.588,0.133,24,0
58,68436,187471,6,0.53,0.059,28,1
21,95049,477970,3,0.679,0.026,2,1
22,213051,32684,3,0.783,0.143,28,0
32,182623,449483,4,0.602,0.109,22,1
43,161047,13853,4,0.567,0.076,29,1
52,24040,197352,4,0.611,0.135,25,1
43,147295,414442,7,0.57,0.09,18,1
40,146809,345281,5,0.508,0.09,13,1
66,89957,167563,0,0.496,0.088,25,0
26,190058,443942,1,0.347,0.043,7,0
47,233414,77507,3,0.626,0.035,21,0
46,75873,338646,3,0.495,0.063,30,1
42,92826,264090,2,0.717,0.102,9,1
59,90748,111507,1,0.637,0.0,3,0
31,211211,461208,0,0.406,0.166,0,0
67,33276,385097,1,0.687,0.101,22,1
35,225537,14155,7,0.116,0.025,16,1
46,197133,52554,3,0.79,0.213,26,1
45,128583,37510,7,0.299,0.103,32,1
62,152127,213551,2,0.574,0.007,39,0
40,225157,214352,2,0.564,0.21,12,0
32,195911,364751,3,0.669,0.195,4,1
19,80048,341223,7,0.451,0.036,29,1
36,26844,17387,4,0.178,0.077,0,1
60,169731,243289,0,0.451,0.068,25,0
18,49264,394542,2,0.467,0.0,11,1
64,35671,449798,7,0.193,0.123,14,1
46,245839,153160,1,0.507,0.159,4,0
25,126374,31601,6,0.339,0.146,0,1
33,167948,84910,7,0.597,0.102,7,1
46,66072,176669,1,0.463,0.166,17,1
34,38899,227158,4,0.794,0.021,11,1
23,29749,182160,4,0.462,0.227,15,1
52,98275,54364,6,0.565,0.046,4,1
52,15875,176662,6,0.468,0.054,5,1
24,113713,152047,0,0.257,0.06,29,0
32,91316,248966,2,0.469,0.055,32,1
30,138805,48791,7,0.613,0.087,29,1
52,153539,397382,2,0.59,0.084,38,1
55,87481,214336,1,0.456,0.109,29,1
55,121979,165762,5,0.281,0.043,4,1
66,33352,454195,1,0.597,0.112,29,1
57,85915,374796,1,0.563,0.024,9,0
34,244875,77051,6,0.627,0.151,31,1
23,247932,81768,0,0.459,0.15,25,0
49,129165,11047,7,0.247,0.1,33,1
65,235788,284755,1,0.58,0.055,38,0
68,132806,183815,0,0.499,0.122,27,0
29,44528,193793,5,0.709,0.038,37,1
30,218957,259604,1,0.504,0.102,21,0
19,112550,274213,2,0.493,0.089,37,1
25,158920,10477,2,0.563,0.284,3,1
46,167479,62797,4,0.41,0.014,17,1
46,87388,396689,3,0.403,0.0,30,1
37,187370,477196,1,0.485,0.055,39,0
34,132807,420208,1,0.362,0.0,34,0
61,101097,454044,1,0.466,0.049,14,1
41,85009,237122,0,0.791,0.009,25,0
60,190376,414934,5,0.656,0.037,3,1
68,73595,442291,3,0.546,0.025,4,1
34,44175,447463,0,0.733,0.167,28,0
28,222210,83194,2,0.376,0.097,12,1
67,92975,81877,5,0.874,0.175,22,1
51,165642,207274,2,0.431,0.103,8,1
33,183361,256823,3,0.801,0.165,31,1
50,212009,479488,5,0.8,0.079,3,1
44,162035,165775,5,0.237,0.212,24,1
65,181366,417453,5,0.72,0.133,27,1
31,211744,444819,3,0.457,0.045,32,1
69,236690,482967,3,0.415,0.143,10,1
66,26011,102824,6,0.579,0.102,13,1
27,189664,128519,6,0.349,0.086,22,1
26,55982,117773,0,0.575,0.107,11,0
45,224450,370243,6,0.359,0.153,29,1
20,26396,346490,7,0.527,0.0,30,1
33,72991,209471,7,0.7,0.075,30,1
40,60146,53560,2,0.558,0.148,19,1
68,156803,265199,4,0.446,0.117,25,1
69,16006,368859,0,0.581,0.021,7,0
25,19000,242416,0,0.289,0.0,7,1
64,133489,141382,4,0.374,0.219,15,1
22,243341,300184,1,0.435,0.087,8,0
56,139153,333858,1,0.618,0.206,32,0
61,119793,299723,2,0.561,0.156,10,1
64,169604,437788,3,0.58,0.044,36,1
29,144675,163828,1,0.496,0.0,16,0
64,105454,308709,6,0.382,0.068,30,1
24,153309,428962,5,0.723,0.097,3,1
44,15753,114215,6,0.395,0.132,28,1
42,72454,147978,7,0.563,0.022,18,1
34,173364,34091,4,0.483,0.112,32,1
19,95264,193739,2,0.584,0.112,7,1
58,27758,31860,7,0.409,0.169,8,1
35,44243,375723,4,0.658,0.079,34,1
52,218550,53517,3,0.707,0.131,23,0
39,92450,349286,3,0.649,0.12,22,1
37,20323,294110,0,0.524,0.161,23,1
64,186269,494070,7,0.435,0.043,14,1
22,139661,180626,6,0.923,0.0,37,1
56,121075,178949,5,0.351,0.083,22,1
56,225305,129122,1,0.632,0.084,0,0
37,88725,273262,7,0.55,0.019,11,1
31,149535,117460,1,0.491,0.0,38,0
18,190051,65561,1,0.528,0.06,19,0
66,157977,474804,0,0.423,0.092,29,0
67,63873,342789,2,0.564,0.107,0,1
30,175178,68220,2,0.548,0.0,0,0
19,189698,312850,6,0.902,0.0,8,1
24,43766,159359,2,0.661,0.179,20,1
21,53880,98228,7,0.577,0.087,24,1
61,173607,241023,2,0.586,0.1,2,0
64,42960,395936,4,0.776,0.007,36,1
25,221883,10220,4,0.354,0.1,24,1
56,40748,184045,6,0.473,0.074,14,1
27,243941,461267,6,0.214,0.057,18,1
37,172805,203223,6,0.584,0.0,20,1
49,119117,58558,7,0.627,0.039,30,1
55,78072,220007,0,0.351,0.238,3,1
63,95958,344410,0,0.715,0.076,23,0
20,190900,498197,3,0.392,0.155,20,1
28,192027,318144,1,0.449,0.086,31,0
32,64034,34759,3,0.518,0.078,14,1
34,142575,406441,4,0.739,0.055,14,1
69,248340,392251,2,0.371,0.194,32,1
58,75466,329179,0,0.544,0.126,34,0
34,177950,449304,7,0.616,0.045,32,1
68,55457,386999,2,0.585,0.072,34,1
43,211009,123789,6,0.591,0.175,4,1
44,55004,216411,4,0.614,0.0,26,1
40,84940,258641,5,0.417,0.122,27,1
25,122906,249465,6,0.753,0.138,10,1
66,102104,323008,2,0.483,0.048,18,1
18,54979,353814,1,0.463,0.111,39,1
27,165631,60940,7,0.702,0.135,5,1
29,19633,288529,5,0.405,0.014,32,1
32,246127,29019,2,0.548,0.159,12,0
24,27240,260653,5,0.392,0.121,34,1
18,93457,216867,3,0.878,0.089,21,1
53,233522,110723,6,0.846,0.107,0,1
68,51444,495502,4,0.483,0.15,4,1
24,32145,136473,2,0.578,0.262,33,1
33,189820,37598,5,0.501,0.143,31,1
44,32197,185663,6,0.448,0.157,8,1
66,226405,381128,2,0.518,0.114,25,0
54,121029,14549,6,0.494,0.233,20,1
57,219292,251502,1,0.272,0.0,2,0
48,72598,214508,1,0.539,0.0,28,0
39,48167,434229,6,0.494,0.111,6,1
28,241233,11356,4,0.547,0.146,16,1
62,194111,18489,0,0.488,0.0,0,0
59,229081,286857,5,0.446,0.1,9,1
19,90173,97895,2,0.631,0.087,37,1
55,110114,354974,2,0.58,0.152,20,1
22,150647,146278,3,0.709,0.13,28,1
56,120451,285452,3,0.574,0.0,11,1
60,72026,28492,7,0.47,0.024,1,1
24,103151,349824,3,0.593,0.044,24,1
40,158057,263941,2,0.203,0.152,9,1
24,23898,10006,6,0.816,0.126,4,1
47,93946,140249,4,0.541,0.057,19,1
66,83819,39126,0,0.828,0.11,16,0
22,31525,31973,5,0.37,0.026,4,1
38,43828,352246,4,0.332,0.243,23,1
68,131484,219666,4,0.555,0.14,17,1
33,39057,403421,1,0.554,0.155,39,1
24,96052,136309,3,0.551,0.196,3,1
43,146802,361673,5,0.528,0.171,19,1
44,220353,311410,5,0.406,0.102,31,1
52,38209,334875,5,0.277,0.087,17,1
34,117141,415726,7,0.542,0.19,8,1
67,39188,356617,4,0.308,0.102,39,1
45,115714,375343,3,0.293,0.048,13,1
32,127920,372399,4,0.443,0.238,37,1
67,202827,229031,2,0.565,0.034,33,0
66,118936,364944,2,0.798,0.0,26,0
43,234845,422660,5,0.647,0.169,30,1
19,47344,371624,2,0.715,0.049,21,1
49,27492,307768,5,0.598,0.13,26,1
46,16045,46269,5,0.555,0.227,10,1
25,98835,223930,7,0.876,0.004,2,1
50,60348,41003,1,0.302,0.097,24,1
61,36522,60870,2,0.438,0.204,32,1
23,70434,186948,6,0.45,0.148,33,1
55,244121,237421,3,0.634,0.087,30,0
25,203058,268522,5,0.353,0.267,39,1
56,19364,451137,5,0.615,0.093,23,1
39,230128,383683,7,0.587,0.128,6,1
18,63234,217217,1,0.622,0.215,8,1
68,110396,174006,2,0.619,0.169,10,1
26,91994,359167,3,0.731,0.193,39,1
48,110181,144807,4,0.493,0.037,35,1
27,193770,442971,7,0.58,0.186,29,1
66,182433,392909,0,0.39,0.112,34,0
56,154598,344434,1,0.355,0.048,13,0
59,162326,132175,7,0.765,0.116,28,1
40,185968,314649,4,0.378,0.113,6,1
42,58272,412212,5,0.596,0.231,4,1
50,107982,45258,1,0.58,0.127,25,0
58,40306,96795,4,0.676,0.045,28,1
62,180480,262446,2,0.251,0.029,23,1
18,117838,186142,5,0.634,0.097,18,1
52,164760,357711,0,0.491,0.006,24,0
23,147734,206527,2,0.41,0.05,14,1
32,79303,498362,5,0.462,0.083,11,1
61,47596,156760,4,0.656,0.07,10,1
31,243641,186501,6,0.61,0.151,14,1
59,83919,11644,6,0.481,0.048,12,1
42,40747,131271,0,0.329,0.0,6,1
30,86896,125399,0,0.34,0.0,21,0
35,227068,383758,2,0.613,0.099,16,0
45,76405,175450,7,0.308,0.059,6,1
57,246895,109698,3,0.482,0.013,36,1
49,123278,163676,7,0.902,0.237,20,1
66,217526,285697,0,0.569,0.158,5,0
63,168469,394922,7,0.611,0.096,1,1
57,25324,489634,0,0.341,0.116,3,1
49,134706,33210,6,0.316,0.081,16,1
33,112978,422082,7,0.619,0.012,9,1
39,62342,200584,2,0.458,0.172,38,1
24,144247,406038,2,0.676,0.16,18,1
37,39190,28382,4,0.521,0.0,29,1
66,179100,316785,5,1.0,0.116,9,1
40,208139,466017,0,0.429,0.124,2,0
23,36748,29173,1,0.558,0.077,13,1
51,127636,397202,6,0.381,0.247,27,1
68,168954,66020,6,0.67,0.239,30,1
63,29602,491259,1,0.581,0.074,7,1
32,106491,374741,7,0.371,0.084,11,1
41,75658,455978,6,0.467,0.076,18,1
45,24225,449864,6,0.721,0.057,13,1
30,203947,164748,1,0.703,0.036,11,0
31,119497,213803,5,0.303,0.135,39,1
30,191655,348875,1,0.445,0.237,37,0
69,152962,95694,1,0.788,0.209,14,0
56,220816,160211,0,0.49,0.155,2,0
61,249296,58532,3,0.543,0.0,14,0
60,156490,445223,5,0.669,0.0,35,1
67,97759,131457,1,0.315,0.174,35,1
23,114382,211268,1,0.374,0.213,28,1
63,208970,231728,2,0.466,0.139,27,1
21,115259,194184,1,0.696,0.079,14,0
42,137138,391198,6,0.668,0.195,17,1
48,60590,457893,1,0.623,0.153,35,1
36,247665,290724,2,0.494,0.18,8,0
25,167937,420002,2,0.684,0.0,16,0
27,92599,64304,1,0.492,0.124,35,1
60,152491,483542,7,0.602,0.224,27,1
34,109267,66790,1,0.652,0.137,4,0
34,51393,42579,3,0.77,0.166,31,1
66,220565,20895,4,0.507,0.103,2,1
25,223130,129236,2,0.461,0.107,11,0
65,211199,420215,3,0.709,0.198,36,1
65,101590,157420,1,0.721,0.053,2,0
49,75254,397541,3,0.433,0.046,7,1
26,26688,217932,0,0.349,0.067,34,1
26,186911,60930,3,0.698,0.102,26,1
32,92052,241833,2,0.269,0.0,9,1
48,224671,123852,2,0.261,0.151,13,1
25,219416,152821,0,0.475,0.089,37,0
41,45122,263456,7,0.515,0.16,24,1
24,230484,397320,0,0.341,0.0,12,0
46,47967,297540,1,0.533,0.16,5,1
19,130243,119389,0,0.54,0.194,16,0
54,126373,361563,7,0.428,0.131,12,1
20,239739,351293,2,0.805,0.102,17,0
28,169467,126162,3,0.564,0.161,1,1
27,220681,427366,6,0.669,0.189,18,1
61,155013,423172,0,0.282,0.137,9,0
20,208929,305812,0,0.28,0.142,38,0
40,215248,155115,1,0.569,0.216,11,0
48,217031,183537,5,0.778,0.153,9,1
44,111730,225322,7,0.349,0.044,12,1
53,104740,102066,4,0.522,0.189,24,1
59,246433,159907,6,0.315,0.091,29,1
38,192770,75829,7,0.392,0.102,11,1
61,230566,85729,2,0.529,0.107,27,0
34,150674,374645,1,0.426,0.168,5,0
69,233320,72892,1,0.304,0.222,7,0
44,184125,239874,6,0.301,0.102,11,1
56,189502,220328,5,0.217,0.221,27,1
63,56779,32696,6,0.571,0.112,22,1
59,148218,417346,4,0.59,0.198,18,1
62,186877,492081,7,0.589,0.114,24,1
45,193834,322823,7,0.364,0.066,7,1
20,240034,338938,6,0.651,0.235,10,1
43,91832,124025,6,0.606,0.059,28,1
27,86125,423649,0,0.501,0.054,39,0
64,242827,394286,5,0.476,0.012,0,1
30,246747,224712,7,0.403,0.189,14,1
29,57271,355847,2,0.529,0.205,35,1
30,103918,478164,6,0.743,0.126,33,1
51,237801,305392,2,0.671,0.031,10,0
47,61935,107767,1,0.462,0.1,1,1
67,199043,171920,5,0.581,0.079,22,1
39,41387,100716,1,0.335,0.028,27,1
32,56903,172447,3,0.61,0.066,10,1
20,199466,446264,7,0.375,0.135,12,1
18,157754,102973,1,0.604,0.058,26,0
37,145383,446941,1,0.945,0.12,21,0
66,216297,149715,7,0.414,0.0,11,1
45,87175,254519,6,0.938,0.218,33,1
64,133274,268902,3,0.574,0.073,36,1
23,157985,71635,3,0.388,0.161,28,1
22,188869,100162,7,0.381,0.113,37,1
61,93043,159556,5,0.855,0.128,14,1
23,163904,39388,7,0.574,0.021,4,1
20,120364,379534,0,0.415,0.047,29,0
39,142360,277657,4,0.469,0.048,22,1
66,217726,424536,5,0.565,0.102,16,1
53,107508,432928,0,0.499,0.193,10,0
23,172019,180350,4,0.552,0.13,2,1
61,236368,410387,0,0.766,0.037,6,0
61,194164,40004,7,0.331,0.106,26,1
59,247349,220552,5,0.597,0.094,9,1
64,152120,336206,1,0.489,0.075,37,0
30,81258,238451,4,0.425,0.099,18,1
68,247978,372353,0,0.661,0.153,3,0
34,166475,430714,6,0.281,0.05,26,1
59,71731,217767,1,0.145,0.076,27,1
48,89539,144484,4,0.534,0.169,7,1
58,76638,295717,0,0.479,0.133,33,0
50,210897,435556,1,0.297,0.19,29,0
51,36751,493812,7,0.243,0.201,23,1
50,188877,409616,3,0.79,0.005,4,0
58,145194,130049,0,0.569,0.12,19,0
56,32266,110589,5,0.503,0.064,38,1
24,159139,290759,1,0.829,0.016,9,0
60,191990,207070,4,0.653,0.045,37,1
45,185600,309370,6,0.765,0.079,7,1
34,139200,462431,5,0.323,0.079,24,1
44,93829,279062,1,0.317,0.058,15,1
68,53503,184214,1,0.593,0.099,2,1
62,17880,435873,1,0.562,0.271,25,1
61,99495,225191,5,0.687,0.0,18,1
42,163573,306453,5,0.255,0.18,12,1
58,23849,76296,4,0.606,0.099,9,1
38,249693,258866,3,0.648,0.069,19,0
53,152698,218890,0,0.64,0.0,4,0
51,84219,70277,6,0.439,0.153,23,1
30,241095,113688,5,0.578,0.0,3,1
31,58224,354572,5,0.384,0.158,8,1
21,240035,98488,0,0.456,0.222,20,0
25,81215,74732,2,0.344,0.01,29,1
40,104236,38198,2,0.386,0.182,15,1
42,114972,23019,4,0.464,0.102,25,1
26,248786,222862,6,0.426,0.0,37,1
39,73964,249380,6,0.386,0.016,23,1
49,243624,315921,4,0.305,0.112,30,1
30,96535,290498,2,0.794,0.128,19,1
35,82018,273027,3,0.425,0.0,10,1
37,164978,499536,5,0.549,0.102,14,1
44,178030,132485,2,0.236,0.158,14,1
37,96081,359040,3,0.704,0.17,21,1
56,46505,49009,6,0.525,0.071,6,1
35,108073,425809,4,0.433,0.131,30,1
40,141998,187706,3,0.435,0.175,6,1
